老磊,瘤开,困档,版档,措扁鼻 观 老荤樊
01-03 19:00,堡林,35.1729,126.8916,0
01-03 20:00,堡林,35.1729,126.8916,0
01-03 21:00,堡林,35.1729,126.8916,0
01-03 22:00,堡林,35.1729,126.8916,0
01-03 23:00,堡林,35.1729,126.8916,0
01-04 00:00,堡林,35.1729,126.8916,0
01-04 01:00,堡林,35.1729,126.8916,0
01-04 02:00,堡林,35.1729,126.8916,0
01-04 03:00,堡林,35.1729,126.8916,0
01-04 04:00,堡林,35.1729,126.8916,0
01-04 05:00,堡林,35.1729,126.8916,0
01-04 06:00,堡林,35.1729,126.8916,0
01-04 07:00,堡林,35.1729,126.8916,0
01-04 08:00,堡林,35.1729,126.8916,327074
01-04 09:00,堡林,35.1729,126.8916,1190595
01-04 10:00,堡林,35.1729,126.8916,1895656
01-04 11:00,堡林,35.1729,126.8916,2394210
01-04 12:00,堡林,35.1729,126.8916,2652281
01-04 13:00,堡林,35.1729,126.8916,2652281
01-04 14:00,堡林,35.1729,126.8916,2394210
01-04 15:00,堡林,35.1729,126.8916,1895656
01-04 16:00,堡林,35.1729,126.8916,1190595
01-04 17:00,堡林,35.1729,126.8916,327074
01-04 18:00,堡林,35.1729,126.8916,0
01-04 19:00,堡林,35.1729,126.8916,0
01-04 20:00,堡林,35.1729,126.8916,0
01-04 21:00,堡林,35.1729,126.8916,0
01-04 22:00,堡林,35.1729,126.8916,0
01-04 23:00,堡林,35.1729,126.8916,0
01-05 00:00,堡林,35.1729,126.8916,0
01-05 01:00,堡林,35.1729,126.8916,0
01-05 02:00,堡林,35.1729,126.8916,0
01-05 03:00,堡林,35.1729,126.8916,0
01-05 04:00,堡林,35.1729,126.8916,0
01-05 05:00,堡林,35.1729,126.8916,0
01-05 06:00,堡林,35.1729,126.8916,0
01-05 07:00,堡林,35.1729,126.8916,0
01-05 08:00,堡林,35.1729,126.8916,332961
01-05 09:00,堡林,35.1729,126.8916,1197090
01-05 10:00,堡林,35.1729,126.8916,1902648
01-05 11:00,堡林,35.1729,126.8916,2401553
01-05 12:00,堡林,35.1729,126.8916,2659805
01-05 13:00,堡林,35.1729,126.8916,2659805
01-05 14:00,堡林,35.1729,126.8916,2401553
01-05 15:00,堡林,35.1729,126.8916,1902648
01-05 16:00,堡林,35.1729,126.8916,1197090
01-05 17:00,堡林,35.1729,126.8916,332961
01-05 18:00,堡林,35.1729,126.8916,0
01-05 19:00,堡林,35.1729,126.8916,0
01-05 20:00,堡林,35.1729,126.8916,0
01-05 21:00,堡林,35.1729,126.8916,0
01-05 22:00,堡林,35.1729,126.8916,0
01-05 23:00,堡林,35.1729,126.8916,0
01-06 00:00,堡林,35.1729,126.8916,0
01-06 01:00,堡林,35.1729,126.8916,0
01-06 02:00,堡林,35.1729,126.8916,0
01-06 03:00,堡林,35.1729,126.8916,0
01-06 04:00,堡林,35.1729,126.8916,0
01-06 05:00,堡林,35.1729,126.8916,0
01-06 06:00,堡林,35.1729,126.8916,0
01-06 07:00,堡林,35.1729,126.8916,0
01-06 08:00,堡林,35.1729,126.8916,339276
01-06 09:00,堡林,35.1729,126.8916,1204050
01-06 10:00,堡林,35.1729,126.8916,1910134
01-06 11:00,堡林,35.1729,126.8916,2409411
01-06 12:00,堡林,35.1729,126.8916,2667856
01-06 13:00,堡林,35.1729,126.8916,2667856
01-06 14:00,堡林,35.1729,126.8916,2409411
01-06 15:00,堡林,35.1729,126.8916,1910134
01-06 16:00,堡林,35.1729,126.8916,1204050
01-06 17:00,堡林,35.1729,126.8916,339276
01-06 18:00,堡林,35.1729,126.8916,0
01-06 19:00,堡林,35.1729,126.8916,0
01-06 20:00,堡林,35.1729,126.8916,0
01-06 21:00,堡林,35.1729,126.8916,0
01-06 22:00,堡林,35.1729,126.8916,0
01-06 23:00,堡林,35.1729,126.8916,0
01-07 00:00,堡林,35.1729,126.8916,0
01-07 01:00,堡林,35.1729,126.8916,0
01-07 02:00,堡林,35.1729,126.8916,0
01-07 03:00,堡林,35.1729,126.8916,0
01-07 04:00,堡林,35.1729,126.8916,0
01-07 05:00,堡林,35.1729,126.8916,0
01-07 06:00,堡林,35.1729,126.8916,0
01-07 07:00,堡林,35.1729,126.8916,0
01-07 08:00,堡林,35.1729,126.8916,346017
01-07 09:00,堡林,35.1729,126.8916,1211469
01-07 10:00,堡林,35.1729,126.8916,1918109
01-07 11:00,堡林,35.1729,126.8916,2417778
01-07 12:00,堡林,35.1729,126.8916,2676426
01-07 13:00,堡林,35.1729,126.8916,2676426
01-07 14:00,堡林,35.1729,126.8916,2417778
01-07 15:00,堡林,35.1729,126.8916,1918109
01-07 16:00,堡林,35.1729,126.8916,1211469
01-07 17:00,堡林,35.1729,126.8916,346017
01-07 18:00,堡林,35.1729,126.8916,0
01-07 19:00,堡林,35.1729,126.8916,0
01-07 20:00,堡林,35.1729,126.8916,0
01-07 21:00,堡林,35.1729,126.8916,0
01-07 22:00,堡林,35.1729,126.8916,0
01-07 23:00,堡林,35.1729,126.8916,0
01-08 00:00,堡林,35.1729,126.8916,0
01-08 01:00,堡林,35.1729,126.8916,0
01-08 02:00,堡林,35.1729,126.8916,0
01-08 03:00,堡林,35.1729,126.8916,0
01-08 04:00,堡林,35.1729,126.8916,0
01-08 05:00,堡林,35.1729,126.8916,0
01-08 06:00,堡林,35.1729,126.8916,0
01-08 07:00,堡林,35.1729,126.8916,0
01-08 08:00,堡林,35.1729,126.8916,353179
01-08 09:00,堡林,35.1729,126.8916,1219345
01-08 10:00,堡林,35.1729,126.8916,1926567
01-08 11:00,堡林,35.1729,126.8916,2426648
01-08 12:00,堡林,35.1729,126.8916,2685509
01-08 13:00,堡林,35.1729,126.8916,2685509
01-08 14:00,堡林,35.1729,126.8916,2426648
01-08 15:00,堡林,35.1729,126.8916,1926567
01-08 16:00,堡林,35.1729,126.8916,1219345
01-08 17:00,堡林,35.1729,126.8916,353179
01-08 18:00,堡林,35.1729,126.8916,0
01-08 19:00,堡林,35.1729,126.8916,0
01-08 20:00,堡林,35.1729,126.8916,0
01-08 21:00,堡林,35.1729,126.8916,0
01-08 22:00,堡林,35.1729,126.8916,0
01-08 23:00,堡林,35.1729,126.8916,0
01-09 00:00,堡林,35.1729,126.8916,0
01-09 01:00,堡林,35.1729,126.8916,0
01-09 02:00,堡林,35.1729,126.8916,0
01-09 03:00,堡林,35.1729,126.8916,0
01-09 04:00,堡林,35.1729,126.8916,0
01-09 05:00,堡林,35.1729,126.8916,0
01-09 06:00,堡林,35.1729,126.8916,0
01-09 07:00,堡林,35.1729,126.8916,0
01-09 08:00,堡林,35.1729,126.8916,360758
01-09 09:00,堡林,35.1729,126.8916,1227671
01-09 10:00,堡林,35.1729,126.8916,1935502
01-09 11:00,堡林,35.1729,126.8916,2436014
01-09 12:00,堡林,35.1729,126.8916,2695099
01-09 13:00,堡林,35.1729,126.8916,2695099
01-09 14:00,堡林,35.1729,126.8916,2436014
01-09 15:00,堡林,35.1729,126.8916,1935502
01-09 16:00,堡林,35.1729,126.8916,1227671
01-09 17:00,堡林,35.1729,126.8916,360758
01-09 18:00,堡林,35.1729,126.8916,0
01-09 19:00,堡林,35.1729,126.8916,0
01-09 20:00,堡林,35.1729,126.8916,0
01-09 21:00,堡林,35.1729,126.8916,0
01-09 22:00,堡林,35.1729,126.8916,0
01-09 23:00,堡林,35.1729,126.8916,0
01-10 00:00,堡林,35.1729,126.8916,0
01-10 01:00,堡林,35.1729,126.8916,0
01-10 02:00,堡林,35.1729,126.8916,0
01-10 03:00,堡林,35.1729,126.8916,0
01-10 04:00,堡林,35.1729,126.8916,0
01-10 05:00,堡林,35.1729,126.8916,0
01-10 06:00,堡林,35.1729,126.8916,0
01-10 07:00,堡林,35.1729,126.8916,0
01-10 08:00,堡林,35.1729,126.8916,368751
01-10 09:00,堡林,35.1729,126.8916,1236442
01-10 10:00,堡林,35.1729,126.8916,1944909
01-10 11:00,堡林,35.1729,126.8916,2445871
01-10 12:00,堡林,35.1729,126.8916,2705187
01-10 13:00,堡林,35.1729,126.8916,2705187
01-10 14:00,堡林,35.1729,126.8916,2445871
01-10 15:00,堡林,35.1729,126.8916,1944909
01-10 16:00,堡林,35.1729,126.8916,1236442
01-10 17:00,堡林,35.1729,126.8916,368751
01-10 18:00,堡林,35.1729,126.8916,0
01-10 19:00,堡林,35.1729,126.8916,0
01-10 20:00,堡林,35.1729,126.8916,0
01-10 21:00,堡林,35.1729,126.8916,0
01-10 22:00,堡林,35.1729,126.8916,0
01-10 23:00,堡林,35.1729,126.8916,0
01-11 00:00,堡林,35.1729,126.8916,0
01-11 01:00,堡林,35.1729,126.8916,0
01-11 02:00,堡林,35.1729,126.8916,0
01-11 03:00,堡林,35.1729,126.8916,0
01-11 04:00,堡林,35.1729,126.8916,0
01-11 05:00,堡林,35.1729,126.8916,0
01-11 06:00,堡林,35.1729,126.8916,0
01-11 07:00,堡林,35.1729,126.8916,0
01-11 08:00,堡林,35.1729,126.8916,377152
01-11 09:00,堡林,35.1729,126.8916,1245653
01-11 10:00,堡林,35.1729,126.8916,1954780
01-11 11:00,堡林,35.1729,126.8916,2456209
01-11 12:00,堡林,35.1729,126.8916,2715768
01-11 13:00,堡林,35.1729,126.8916,2715768
01-11 14:00,堡林,35.1729,126.8916,2456209
01-11 15:00,堡林,35.1729,126.8916,1954780
01-11 16:00,堡林,35.1729,126.8916,1245653
01-11 17:00,堡林,35.1729,126.8916,377152
01-11 18:00,堡林,35.1729,126.8916,0
01-11 19:00,堡林,35.1729,126.8916,0
01-11 20:00,堡林,35.1729,126.8916,0
01-11 21:00,堡林,35.1729,126.8916,0
01-11 22:00,堡林,35.1729,126.8916,0
01-11 23:00,堡林,35.1729,126.8916,0
01-12 00:00,堡林,35.1729,126.8916,0
01-12 01:00,堡林,35.1729,126.8916,0
01-12 02:00,堡林,35.1729,126.8916,0
01-12 03:00,堡林,35.1729,126.8916,0
01-12 04:00,堡林,35.1729,126.8916,0
01-12 05:00,堡林,35.1729,126.8916,0
01-12 06:00,堡林,35.1729,126.8916,0
01-12 07:00,堡林,35.1729,126.8916,0
01-12 08:00,堡林,35.1729,126.8916,385958
01-12 09:00,堡林,35.1729,126.8916,1255297
01-12 10:00,堡林,35.1729,126.8916,1965109
01-12 11:00,堡林,35.1729,126.8916,2467022
01-12 12:00,堡林,35.1729,126.8916,2726831
01-12 13:00,堡林,35.1729,126.8916,2726831
01-12 14:00,堡林,35.1729,126.8916,2467022
01-12 15:00,堡林,35.1729,126.8916,1965109
01-12 16:00,堡林,35.1729,126.8916,1255297
01-12 17:00,堡林,35.1729,126.8916,385958
01-12 18:00,堡林,35.1729,126.8916,0
01-12 19:00,堡林,35.1729,126.8916,0
01-12 20:00,堡林,35.1729,126.8916,0
01-12 21:00,堡林,35.1729,126.8916,0
01-12 22:00,堡林,35.1729,126.8916,0
01-12 23:00,堡林,35.1729,126.8916,0
01-13 00:00,堡林,35.1729,126.8916,0
01-13 01:00,堡林,35.1729,126.8916,0
01-13 02:00,堡林,35.1729,126.8916,0
01-13 03:00,堡林,35.1729,126.8916,0
01-13 04:00,堡林,35.1729,126.8916,0
01-13 05:00,堡林,35.1729,126.8916,0
01-13 06:00,堡林,35.1729,126.8916,0
01-13 07:00,堡林,35.1729,126.8916,0
01-13 08:00,堡林,35.1729,126.8916,395164
01-13 09:00,堡林,35.1729,126.8916,1265369
01-13 10:00,堡林,35.1729,126.8916,1975889
01-13 11:00,堡林,35.1729,126.8916,2478302
01-13 12:00,堡林,35.1729,126.8916,2738370
01-13 13:00,堡林,35.1729,126.8916,2738370
01-13 14:00,堡林,35.1729,126.8916,2478302
01-13 15:00,堡林,35.1729,126.8916,1975889
01-13 16:00,堡林,35.1729,126.8916,1265369
01-13 17:00,堡林,35.1729,126.8916,395164
01-13 18:00,堡林,35.1729,126.8916,0
01-13 19:00,堡林,35.1729,126.8916,0
01-13 20:00,堡林,35.1729,126.8916,0
01-13 21:00,堡林,35.1729,126.8916,0
01-13 22:00,堡林,35.1729,126.8916,0
01-13 23:00,堡林,35.1729,126.8916,0
01-14 00:00,堡林,35.1729,126.8916,0
01-14 01:00,堡林,35.1729,126.8916,0
01-14 02:00,堡林,35.1729,126.8916,0
01-14 03:00,堡林,35.1729,126.8916,0
01-14 04:00,堡林,35.1729,126.8916,0
01-14 05:00,堡林,35.1729,126.8916,0
01-14 06:00,堡林,35.1729,126.8916,0
01-14 07:00,堡林,35.1729,126.8916,0
01-14 08:00,堡林,35.1729,126.8916,404764
01-14 09:00,堡林,35.1729,126.8916,1275862
01-14 10:00,堡林,35.1729,126.8916,1987111
01-14 11:00,堡林,35.1729,126.8916,2490040
01-14 12:00,堡林,35.1729,126.8916,2750375
01-14 13:00,堡林,35.1729,126.8916,2750375
01-14 14:00,堡林,35.1729,126.8916,2490040
01-14 15:00,堡林,35.1729,126.8916,1987111
01-14 16:00,堡林,35.1729,126.8916,1275862
01-14 17:00,堡林,35.1729,126.8916,404764
01-14 18:00,堡林,35.1729,126.8916,0
01-14 19:00,堡林,35.1729,126.8916,0
01-14 20:00,堡林,35.1729,126.8916,0
01-14 21:00,堡林,35.1729,126.8916,0
01-14 22:00,堡林,35.1729,126.8916,0
01-14 23:00,堡林,35.1729,126.8916,0
01-15 00:00,堡林,35.1729,126.8916,0
01-15 01:00,堡林,35.1729,126.8916,0
01-15 02:00,堡林,35.1729,126.8916,0
01-15 03:00,堡林,35.1729,126.8916,0
01-15 04:00,堡林,35.1729,126.8916,0
01-15 05:00,堡林,35.1729,126.8916,0
01-15 06:00,堡林,35.1729,126.8916,0
01-15 07:00,堡林,35.1729,126.8916,0
01-15 08:00,堡林,35.1729,126.8916,414753
01-15 09:00,堡林,35.1729,126.8916,1286770
01-15 10:00,堡林,35.1729,126.8916,1998769
01-15 11:00,堡林,35.1729,126.8916,2502228
01-15 12:00,堡林,35.1729,126.8916,2762838
01-15 13:00,堡林,35.1729,126.8916,2762838
01-15 14:00,堡林,35.1729,126.8916,2502228
01-15 15:00,堡林,35.1729,126.8916,1998769
01-15 16:00,堡林,35.1729,126.8916,1286770
01-15 17:00,堡林,35.1729,126.8916,414753
01-15 18:00,堡林,35.1729,126.8916,0
01-15 19:00,堡林,35.1729,126.8916,0
01-15 20:00,堡林,35.1729,126.8916,0
01-15 21:00,堡林,35.1729,126.8916,0
01-15 22:00,堡林,35.1729,126.8916,0
01-15 23:00,堡林,35.1729,126.8916,0
01-16 00:00,堡林,35.1729,126.8916,0
01-16 01:00,堡林,35.1729,126.8916,0
01-16 02:00,堡林,35.1729,126.8916,0
01-16 03:00,堡林,35.1729,126.8916,0
01-16 04:00,堡林,35.1729,126.8916,0
01-16 05:00,堡林,35.1729,126.8916,0
01-16 06:00,堡林,35.1729,126.8916,0
01-16 07:00,堡林,35.1729,126.8916,0
01-16 08:00,堡林,35.1729,126.8916,425126
01-16 09:00,堡林,35.1729,126.8916,1298085
01-16 10:00,堡林,35.1729,126.8916,2010854
01-16 11:00,堡林,35.1729,126.8916,2514857
01-16 12:00,堡林,35.1729,126.8916,2775749
01-16 13:00,堡林,35.1729,126.8916,2775749
01-16 14:00,堡林,35.1729,126.8916,2514857
01-16 15:00,堡林,35.1729,126.8916,2010854
01-16 16:00,堡林,35.1729,126.8916,1298085
01-16 17:00,堡林,35.1729,126.8916,425126
01-16 18:00,堡林,35.1729,126.8916,0
01-16 19:00,堡林,35.1729,126.8916,0
01-16 20:00,堡林,35.1729,126.8916,0
01-16 21:00,堡林,35.1729,126.8916,0
01-16 22:00,堡林,35.1729,126.8916,0
01-16 23:00,堡林,35.1729,126.8916,0
01-17 00:00,堡林,35.1729,126.8916,0
01-17 01:00,堡林,35.1729,126.8916,0
01-17 02:00,堡林,35.1729,126.8916,0
01-17 03:00,堡林,35.1729,126.8916,0
01-17 04:00,堡林,35.1729,126.8916,0
01-17 05:00,堡林,35.1729,126.8916,0
01-17 06:00,堡林,35.1729,126.8916,0
01-17 07:00,堡林,35.1729,126.8916,0
01-17 08:00,堡林,35.1729,126.8916,435877
01-17 09:00,堡林,35.1729,126.8916,1309801
01-17 10:00,堡林,35.1729,126.8916,2023358
01-17 11:00,堡林,35.1729,126.8916,2527918
01-17 12:00,堡林,35.1729,126.8916,2789098
01-17 13:00,堡林,35.1729,126.8916,2789098
01-17 14:00,堡林,35.1729,126.8916,2527918
01-17 15:00,堡林,35.1729,126.8916,2023358
01-17 16:00,堡林,35.1729,126.8916,1309801
01-17 17:00,堡林,35.1729,126.8916,435877
01-17 18:00,堡林,35.1729,126.8916,0
01-17 19:00,堡林,35.1729,126.8916,0
01-17 20:00,堡林,35.1729,126.8916,0
01-17 21:00,堡林,35.1729,126.8916,0
01-17 22:00,堡林,35.1729,126.8916,0
01-17 23:00,堡林,35.1729,126.8916,0
01-18 00:00,堡林,35.1729,126.8916,0
01-18 01:00,堡林,35.1729,126.8916,0
01-18 02:00,堡林,35.1729,126.8916,0
01-18 03:00,堡林,35.1729,126.8916,0
01-18 04:00,堡林,35.1729,126.8916,0
01-18 05:00,堡林,35.1729,126.8916,0
01-18 06:00,堡林,35.1729,126.8916,0
01-18 07:00,堡林,35.1729,126.8916,0
01-18 08:00,堡林,35.1729,126.8916,447000
01-18 09:00,堡林,35.1729,126.8916,1321910
01-18 10:00,堡林,35.1729,126.8916,2036271
01-18 11:00,堡林,35.1729,126.8916,2541401
01-18 12:00,堡林,35.1729,126.8916,2802875
01-18 13:00,堡林,35.1729,126.8916,2802875
01-18 14:00,堡林,35.1729,126.8916,2541401
01-18 15:00,堡林,35.1729,126.8916,2036271
01-18 16:00,堡林,35.1729,126.8916,1321910
01-18 17:00,堡林,35.1729,126.8916,447000
01-18 18:00,堡林,35.1729,126.8916,0
01-18 19:00,堡林,35.1729,126.8916,0
01-18 20:00,堡林,35.1729,126.8916,0
01-18 21:00,堡林,35.1729,126.8916,0
01-18 22:00,堡林,35.1729,126.8916,0
01-18 23:00,堡林,35.1729,126.8916,0
01-19 00:00,堡林,35.1729,126.8916,0
01-19 01:00,堡林,35.1729,126.8916,0
01-19 02:00,堡林,35.1729,126.8916,0
01-19 03:00,堡林,35.1729,126.8916,0
01-19 04:00,堡林,35.1729,126.8916,0
01-19 05:00,堡林,35.1729,126.8916,0
01-19 06:00,堡林,35.1729,126.8916,0
01-19 07:00,堡林,35.1729,126.8916,0
01-19 08:00,堡林,35.1729,126.8916,458489
01-19 09:00,堡林,35.1729,126.8916,1334404
01-19 10:00,堡林,35.1729,126.8916,2049586
01-19 11:00,堡林,35.1729,126.8916,2555296
01-19 12:00,堡林,35.1729,126.8916,2817071
01-19 13:00,堡林,35.1729,126.8916,2817071
01-19 14:00,堡林,35.1729,126.8916,2555296
01-19 15:00,堡林,35.1729,126.8916,2049586
01-19 16:00,堡林,35.1729,126.8916,1334404
01-19 17:00,堡林,35.1729,126.8916,458489
01-19 18:00,堡林,35.1729,126.8916,0
01-19 19:00,堡林,35.1729,126.8916,0
01-19 20:00,堡林,35.1729,126.8916,0
01-19 21:00,堡林,35.1729,126.8916,0
01-19 22:00,堡林,35.1729,126.8916,0
01-19 23:00,堡林,35.1729,126.8916,0
01-20 00:00,堡林,35.1729,126.8916,0
01-20 01:00,堡林,35.1729,126.8916,0
01-20 02:00,堡林,35.1729,126.8916,0
01-20 03:00,堡林,35.1729,126.8916,0
01-20 04:00,堡林,35.1729,126.8916,0
01-20 05:00,堡林,35.1729,126.8916,0
01-20 06:00,堡林,35.1729,126.8916,0
01-20 07:00,堡林,35.1729,126.8916,0
01-20 08:00,堡林,35.1729,126.8916,470338
01-20 09:00,堡林,35.1729,126.8916,1347276
01-20 10:00,堡林,35.1729,126.8916,2063293
01-20 11:00,堡林,35.1729,126.8916,2569593
01-20 12:00,堡林,35.1729,126.8916,2831674
01-20 13:00,堡林,35.1729,126.8916,2831674
01-20 14:00,堡林,35.1729,126.8916,2569593
01-20 15:00,堡林,35.1729,126.8916,2063293
01-20 16:00,堡林,35.1729,126.8916,1347276
01-20 17:00,堡林,35.1729,126.8916,470338
01-20 18:00,堡林,35.1729,126.8916,0
01-20 19:00,堡林,35.1729,126.8916,0
01-20 20:00,堡林,35.1729,126.8916,0
01-20 21:00,堡林,35.1729,126.8916,0
01-20 22:00,堡林,35.1729,126.8916,0
01-20 23:00,堡林,35.1729,126.8916,0
01-21 00:00,堡林,35.1729,126.8916,0
01-21 01:00,堡林,35.1729,126.8916,0
01-21 02:00,堡林,35.1729,126.8916,0
01-21 03:00,堡林,35.1729,126.8916,0
01-21 04:00,堡林,35.1729,126.8916,0
01-21 05:00,堡林,35.1729,126.8916,0
01-21 06:00,堡林,35.1729,126.8916,0
01-21 07:00,堡林,35.1729,126.8916,0
01-21 08:00,堡林,35.1729,126.8916,482540
01-21 09:00,堡林,35.1729,126.8916,1360517
01-21 10:00,堡林,35.1729,126.8916,2077383
01-21 11:00,堡林,35.1729,126.8916,2584283
01-21 12:00,堡林,35.1729,126.8916,2846674
01-21 13:00,堡林,35.1729,126.8916,2846674
01-21 14:00,堡林,35.1729,126.8916,2584283
01-21 15:00,堡林,35.1729,126.8916,2077383
01-21 16:00,堡林,35.1729,126.8916,1360517
01-21 17:00,堡林,35.1729,126.8916,482540
01-21 18:00,堡林,35.1729,126.8916,0
01-21 19:00,堡林,35.1729,126.8916,0
01-21 20:00,堡林,35.1729,126.8916,0
01-21 21:00,堡林,35.1729,126.8916,0
01-21 22:00,堡林,35.1729,126.8916,0
01-21 23:00,堡林,35.1729,126.8916,0
01-22 00:00,堡林,35.1729,126.8916,0
01-22 01:00,堡林,35.1729,126.8916,0
01-22 02:00,堡林,35.1729,126.8916,0
01-22 03:00,堡林,35.1729,126.8916,0
01-22 04:00,堡林,35.1729,126.8916,0
01-22 05:00,堡林,35.1729,126.8916,0
01-22 06:00,堡林,35.1729,126.8916,0
01-22 07:00,堡林,35.1729,126.8916,0
01-22 08:00,堡林,35.1729,126.8916,495089
01-22 09:00,堡林,35.1729,126.8916,1374120
01-22 10:00,堡林,35.1729,126.8916,2091845
01-22 11:00,堡林,35.1729,126.8916,2599354
01-22 12:00,堡林,35.1729,126.8916,2862059
01-22 13:00,堡林,35.1729,126.8916,2862059
01-22 14:00,堡林,35.1729,126.8916,2599354
01-22 15:00,堡林,35.1729,126.8916,2091845
01-22 16:00,堡林,35.1729,126.8916,1374120
01-22 17:00,堡林,35.1729,126.8916,495089
01-22 18:00,堡林,35.1729,126.8916,0
01-22 19:00,堡林,35.1729,126.8916,0
01-22 20:00,堡林,35.1729,126.8916,0
01-22 21:00,堡林,35.1729,126.8916,0
01-22 22:00,堡林,35.1729,126.8916,0
01-22 23:00,堡林,35.1729,126.8916,0
01-23 00:00,堡林,35.1729,126.8916,0
01-23 01:00,堡林,35.1729,126.8916,0
01-23 02:00,堡林,35.1729,126.8916,0
01-23 03:00,堡林,35.1729,126.8916,0
01-23 04:00,堡林,35.1729,126.8916,0
01-23 05:00,堡林,35.1729,126.8916,0
01-23 06:00,堡林,35.1729,126.8916,0
01-23 07:00,堡林,35.1729,126.8916,0
01-23 08:00,堡林,35.1729,126.8916,507978
01-23 09:00,堡林,35.1729,126.8916,1388075
01-23 10:00,堡林,35.1729,126.8916,2106671
01-23 11:00,堡林,35.1729,126.8916,2614795
01-23 12:00,堡林,35.1729,126.8916,2877820
01-23 13:00,堡林,35.1729,126.8916,2877820
01-23 14:00,堡林,35.1729,126.8916,2614795
01-23 15:00,堡林,35.1729,126.8916,2106671
01-23 16:00,堡林,35.1729,126.8916,1388075
01-23 17:00,堡林,35.1729,126.8916,507978
01-23 18:00,堡林,35.1729,126.8916,0
01-23 19:00,堡林,35.1729,126.8916,0
01-23 20:00,堡林,35.1729,126.8916,0
01-23 21:00,堡林,35.1729,126.8916,0
01-23 22:00,堡林,35.1729,126.8916,0
01-23 23:00,堡林,35.1729,126.8916,0
01-24 00:00,堡林,35.1729,126.8916,0
01-24 01:00,堡林,35.1729,126.8916,0
01-24 02:00,堡林,35.1729,126.8916,0
01-24 03:00,堡林,35.1729,126.8916,0
01-24 04:00,堡林,35.1729,126.8916,0
01-24 05:00,堡林,35.1729,126.8916,0
01-24 06:00,堡林,35.1729,126.8916,0
01-24 07:00,堡林,35.1729,126.8916,0
01-24 08:00,堡林,35.1729,126.8916,521199
01-24 09:00,堡林,35.1729,126.8916,1402374
01-24 10:00,堡林,35.1729,126.8916,2121850
