지역,연도,월,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),월합계강수량(mm),평균 운량(1/10)
서울,2023,2,198.2,363.91,58.76785714,2.30625,1,3.424107143
서울,2023,3,239.8,520.57,51.1733871,9.763306452,10.5,3.462365591
서울,2023,4,182.3,498.03,59.85694444,13.76916667,96.9,5.277777778
서울,2023,5,235.6,648.18,62.47446237,19.50900538,155.6,5.283602151
서울,2023,6,195.1,572.17,72.32916667,23.37625,195.6,5.856944444
서울,2023,7,146.1,478.8,81.13037634,26.68010753,459.9,6.670698925
서울,2023,8,156.1,469.77,76.34408602,27.19704301,298.1,6.538978495
서울,2023,9,157.1,425.79,73.6625,23.63583333,134.5,6.220833333
서울,2023,10,208.7,416.58,66.52016129,15.76774194,31,3.793010753
서울,2023,11,171.9,284.14,64.46666667,6.868333333,81.9,3.808333333
서울,2023,12,142.2,217.33,69.09353508,0.883356259,85.3,4.346629986
서울,2024,1,177.4,279.71,66.49462366,-0.46827957,18.9,3.846774194
서울,2024,2,109.3,259.99,72.77011494,3.83433908,74.7,6.021551724
서울,2024,3,196,449.94,56.75757576,6.949862259,29.9,3.988980716
서울,2024,4,209.2,558.16,56.1875,16.30194444,33.2,4.852777778
서울,2024,5,262,686.88,63.21236559,18.46747312,125.1,4.177419355
서울,2024,6,285.6,714.52,60.42777778,24.5675,115.9,4.244444444
서울,2024,7,96.3,402.43,81.12365591,26.55766129,557.3,7.607526882
서울,2024,8,179,507.93,72.65994624,29.31787634,72.8,4.891129032
서울,2024,9,166.9,439.21,71.78611111,25.47333333,143.9,5.398611111
서울,2024,10,166.4,367.11,69.61424731,16.67002688,74,4.685483871
서울,2024,11,183.5,295.63,62.23472222,9.743472222,60,4.034722222
서울,2024,12,206.3,288.48,56.13709677,0.885215054,5.7,2.857526882
울산,2021,1,211.5,0,52.41801075,2.018010753,20.6,3.711021505
울산,2021,2,208.7,0,49.5952381,6.510565476,28.8,3.526080477
울산,2021,3,204.5,0,67.94489247,10.50698925,138.9,5.491935484
울산,2021,4,241.5,0,61.71527778,13.81958333,73.9,4.993055556
울산,2021,5,219,0,68.21505376,17.70806452,120.4,5.956989247
울산,2021,6,212.7,0,80.28888889,21.62708333,93.8,6.483333333
울산,2021,7,235.8,0,85.06317204,25.94637097,189.3,6.587365591
울산,2021,8,166.3,0,86.56451613,25.34731183,443.9,6.991869919
울산,2021,9,136.9,0,83.275,22.09569444,125.2,7.104311544
울산,2021,10,214.9,0,74.96236559,17.06370968,49,4.193548387
울산,2021,11,220.4,0,59.51805556,11.08125,49.7,2.934722222
울산,2021,12,230.4,0,48.99596774,4.747177419,3.5,2.234185734
울산,2022,1,235.2,0,38.84139785,2.590053763,0.9,3.284366577
울산,2022,2,242.7,0,36.86904762,2.608928571,2.2,3.044776119
울산,2022,3,211.5,0,59.68548387,9.841666667,55.5,5.209176788
울산,2022,4,258.3,0,58.75972222,14.72277778,81,4.275382476
울산,2022,5,318.2,0,54.34811828,19.18158602,6.1,4.02016129
울산,2022,6,225.7,0,77.35694444,22.40597222,147.1,5.873611111
울산,2022,7,183.9,0,83.06303763,25.95147849,125,6.595430108
울산,2022,8,162,0,78.71908602,26.38427419,138.5,6.876344086
울산,2022,9,134.7,0,78.89583333,21.65458333,284.8,6.880555556
울산,2022,10,208.9,0,67.0766129,16.02553763,30.4,4.943548387
울산,2022,11,210.8,0,58.32222222,12.77597222,44.9,3.573611111
울산,2022,12,224,0,43.75672043,1.998521505,9.7,3.181451613
울산,2023,1,223.2,163.69,45.07930108,2.572311828,41.3,2.782258065
울산,2023,2,171.5,343.1,53.19047619,5.189434524,28,4.589285714
울산,2023,3,231.5,514.4,53.85483871,11.38239247,68.3,4.094086022
울산,2023,4,225,555.14,60.06805556,14.08361111,57.7,4.254166667
울산,2023,5,200,565.3,69.21505376,17.75873656,195.2,6.055107527
울산,2023,6,204.7,602.14,73.91666667,22.27902778,141.4,6.336111111
울산,2023,7,166.9,533.64,80.39784946,25.76344086,266.9,6.64516129
울산,2023,8,196.2,530.65,79.60080645,26.54005376,402.4,5.831989247
울산,2023,9,142.9,397.49,80.39166667,22.90958333,277.6,6.4375
울산,2023,10,229.8,459.27,61.8561828,16.38857527,4.3,3.641129032
울산,2023,11,209.2,347.51,52.74027778,10.38527778,33.1,2.659722222
울산,2023,12,191.4,277.39,55.28225806,4.856854839,126.7,3.59811828
울산,2024,1,197.5,309.49,54.54435484,3.402284946,42.3,3.283602151
울산,2024,2,100.9,247.5,71.20689655,5.952729885,105.4,6.260057471
울산,2024,3,215.1,481.91,56.30376344,8.472311828,80.2,4.446236559
울산,2024,4,186.8,499.01,69.45,14.90097222,99.1,5.708333333
울산,2024,5,273.1,711.71,63.92876344,17.87513441,69.3,4.24327957
울산,2024,6,209,599.66,70.68194444,22.57111111,124.6,6.113888889
울산,2024,7,193.6,564.57,77.40053763,26.91263441,209.2,6.225806452
울산,2024,8,272,654.8,75.86962366,27.94919355,89.1,4.157258065
울산,2024,9,167.7,453.19,79.90972222,24.63625,237,5.763888889
울산,2024,10,121.7,316.51,75.88172043,17.81465054,174.3,6.444892473
울산,2024,11,152.6,289.57,65.425,11.75458333,67.5,4.288888889
울산,2024,12,236,329.81,44.53360215,4.076344086,0,2.639784946
